Pclass,Sex,PassengerId,Survived,Name,Age,Fare
3,male,1,0,"Braund, Mr. Owen Harris",22.0,7.25
1,female,2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,71.2833
3,female,3,1,"Heikkinen, Miss. Laina",26.0,7.925
1,female,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,53.1
3,male,5,0,"Allen, Mr. William Henry",35.0,8.05
3,male,6,0,"Moran, Mr. James",,8.4583
1,male,7,0,"McCarthy, Mr. Timothy J",54.0,51.8625
3,male,8,0,"Palsson, Master. Gosta Leonard",2.0,21.075
3,female,9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,11.1333
2,female,10,1,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,30.0708
3,female,11,1,"Sandstrom, Miss. Marguerite Rut",4.0,16.7
1,female,12,1,"Bonnell, Miss. Elizabeth",58.0,26.55
3,male,13,0,"Saundercock, Mr. William Henry",20.0,8.05
3,male,14,0,"Andersson, Mr. Anders Johan",39.0,31.275
3,female,15,0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,7.8542
2,female,16,1,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,16.0
3,male,17,0,"Rice, Master. Eugene",2.0,29.125
2,male,18,1,"Williams, Mr. Charles Eugene",,13.0
3,female,19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,18.0
3,female,20,1,"Masselmani, Mrs. Fatima",,7.225
2,male,21,0,"Fynney, Mr. Joseph J",35.0,26.0
2,male,22,1,"Beesley, Mr. Lawrence",34.0,13.0
3,female,23,1,"McGowan, Miss. Anna ""Annie""",15.0,8.0292
1,male,24,1,"Sloper, Mr. William Thompson",28.0,35.5
3,female,25,0,"Palsson, Miss. Torborg Danira",8.0,21.075
3,female,26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,31.3875
3,male,27,0,"Emir, Mr. Farred Chehab",,7.225
1,male,28,0,"Fortune, Mr. Charles Alexander",19.0,263.0
3,female,29,1,"O'Dwyer, Miss. Ellen ""Nellie""",,7.8792
3,male,30,0,"Todoroff, Mr. Lalio",,7.8958
1,male,31,0,"Uruchurtu, Don. Manuel E",40.0,27.7208
1,female,32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",,146.5208
3,female,33,1,"Glynn, Miss. Mary Agatha",,7.75
2,male,34,0,"Wheadon, Mr. Edward H",66.0,10.5
1,male,35,0,"Meyer, Mr. Edgar Joseph",28.0,82.1708
1,male,36,0,"Holverson, Mr. Alexander Oskar",42.0,52.0
3,male,37,1,"Mamee, Mr. Hanna",,7.2292
3,male,38,0,"Cann, Mr. Ernest Charles",21.0,8.05
3,female,39,0,"Vander Planke, Miss. Augusta Maria",18.0,18.0
3,female,40,1,"Nicola-Yarred, Miss. Jamila",14.0,11.2417
3,female,41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,9.475
2,female,42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,21.0
3,male,43,0,"Kraeff, Mr. Theodor",,7.8958
2,female,44,1,"Laroche, Miss. Simonne Marie Anne Andree",3.0,41.5792
3,female,45,1,"Devaney, Miss. Margaret Delia",19.0,7.8792
3,male,46,0,"Rogers, Mr. William John",,8.05
3,male,47,0,"Lennon, Mr. Denis",,15.5
3,female,48,1,"O'Driscoll, Miss. Bridget",,7.75
3,male,49,0,"Samaan, Mr. Youssef",,21.6792
3,female,50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,17.8
3,male,51,0,"Panula, Master. Juha Niilo",7.0,39.6875
3,male,52,0,"Nosworthy, Mr. Richard Cater",21.0,7.8
1,female,53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,76.7292
2,female,54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,26.0
1,male,55,0,"Ostby, Mr. Engelhart Cornelius",65.0,61.9792
1,male,56,1,"Woolner, Mr. Hugh",,35.5
2,female,57,1,"Rugg, Miss. Emily",21.0,10.5
3,male,58,0,"Novel, Mr. Mansouer",28.5,7.2292
2,female,59,1,"West, Miss. Constance Mirium",5.0,27.75
3,male,60,0,"Goodwin, Master. William Frederick",11.0,46.9
3,male,61,0,"Sirayanian, Mr. Orsen",22.0,7.2292
1,female,62,1,"Icard, Miss. Amelie",38.0,80.0
1,male,63,0,"Harris, Mr. Henry Birkhardt",45.0,83.475
3,male,64,0,"Skoog, Master. Harald",4.0,27.9
1,male,65,0,"Stewart, Mr. Albert A",,27.7208
3,male,66,1,"Moubarek, Master. Gerios",,15.2458
2,female,67,1,"Nye, Mrs. (Elizabeth Ramell)",29.0,10.5
3,male,68,0,"Crease, Mr. Ernest James",19.0,8.1583
3,female,69,1,"Andersson, Miss. Erna Alexandra",17.0,7.925
3,male,70,0,"Kink, Mr. Vincenz",26.0,8.6625
2,male,71,0,"Jenkin, Mr. Stephen Curnow",32.0,10.5
3,female,72,0,"Goodwin, Miss. Lillian Amy",16.0,46.9
2,male,73,0,"Hood, Mr. Ambrose Jr",21.0,73.5
3,male,74,0,"Chronopoulos, Mr. Apostolos",26.0,14.4542
3,male,75,1,"Bing, Mr. Lee",32.0,56.4958
3,male,76,0,"Moen, Mr. Sigurd Hansen",25.0,7.65
3,male,77,0,"Staneff, Mr. Ivan",,7.8958
3,male,78,0,"Moutal, Mr. Rahamin Haim",,8.05
2,male,79,1,"Caldwell, Master. Alden Gates",0.83,29.0
3,female,80,1,"Dowdell, Miss. Elizabeth",30.0,12.475
3,male,81,0,"Waelens, Mr. Achille",22.0,9.0
3,male,82,1,"Sheerlinck, Mr. Jan Baptist",29.0,9.5
3,female,83,1,"McDermott, Miss. Brigdet Delia",,7.7875
1,male,84,0,"Carrau, Mr. Francisco M",28.0,47.1
2,female,85,1,"Ilett, Miss. Bertha",17.0,10.5
3,female,86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,15.85
3,male,87,0,"Ford, Mr. William Neal",16.0,34.375
3,male,88,0,"Slocovski, Mr. Selman Francis",,8.05
1,female,89,1,"Fortune, Miss. Mabel Helen",23.0,263.0
3,male,90,0,"Celotti, Mr. Francesco",24.0,8.05
3,male,91,0,"Christmann, Mr. Emil",29.0,8.05
3,male,92,0,"Andreasson, Mr. Paul Edvin",20.0,7.8542
1,male,93,0,"Chaffee, Mr. Herbert Fuller",46.0,61.175
3,male,94,0,"Dean, Mr. Bertram Frank",26.0,20.575
3,male,95,0,"Coxon, Mr. Daniel",59.0,7.25
3,male,96,0,"Shorney, Mr. Charles Joseph",,8.05
1,male,97,0,"Goldschmidt, Mr. George B",71.0,34.6542
1,male,98,1,"Greenfield, Mr. William Bertram",23.0,63.3583
2,female,99,1,"Doling, Mrs. John T (Ada Julia Bone)",34.0,23.0
2,male,100,0,"Kantor, Mr. Sinai",34.0,26.0
3,female,101,0,"Petranec, Miss. Matilda",28.0,7.8958
3,male,102,0,"Petroff, Mr. Pastcho (""Pentcho"")",,7.8958
1,male,103,0,"White, Mr. Richard Frasar",21.0,77.2875
