PassengerId,Survived,Pclass,Name,Sex,Age,Fare
1,0,3,"Braund, Mr. Owen Harris",male,22.00,7.25
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.00,71.28
3,1,3,"Heikkinen, Miss. Laina",female,26.00,7.92
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.00,53.10
5,0,3,"Allen, Mr. William Henry",male,35.00,8.05
6,0,3,"Moran, Mr. James",male,MISSING,8.46
7,0,1,"McCarthy, Mr. Timothy J",male,54.00,51.86
8,0,3,"Palsson, Master. Gosta Leonard",male,2.00,21.07
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.00,11.13
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.00,30.07
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.00,16.70
12,1,1,"Bonnell, Miss. Elizabeth",female,58.00,26.55
13,0,3,"Saundercock, Mr. William Henry",male,20.00,8.05
14,0,3,"Andersson, Mr. Anders Johan",male,39.00,31.27
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.00,7.85
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.00,16.00
17,0,3,"Rice, Master. Eugene",male,2.00,29.12
18,1,2,"Williams, Mr. Charles Eugene",male,MISSING,13.00
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.00,18.00
20,1,3,"Masselmani, Mrs. Fatima",female,MISSING,7.22
21,0,2,"Fynney, Mr. Joseph J",male,35.00,26.00
22,1,2,"Beesley, Mr. Lawrence",male,34.00,13.00
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.00,8.03
24,1,1,"Sloper, Mr. William Thompson",male,28.00,35.50
25,0,3,"Palsson, Miss. Torborg Danira",female,8.00,21.07
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.00,31.39
27,0,3,"Emir, Mr. Farred Chehab",male,MISSING,7.22
28,0,1,"Fortune, Mr. Charles Alexander",male,19.00,263.00
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,MISSING,7.88
30,0,3,"Todoroff, Mr. Lalio",male,MISSING,7.90
31,0,1,"Uruchurtu, Don. Manuel E",male,40.00,27.72
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,MISSING,146.52
33,1,3,"Glynn, Miss. Mary Agatha",female,MISSING,7.75
34,0,2,"Wheadon, Mr. Edward H",male,66.00,10.50
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.00,82.17
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.00,52.00
37,1,3,"Mamee, Mr. Hanna",male,MISSING,7.23
38,0,3,"Cann, Mr. Ernest Charles",male,21.00,8.05
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.00,18.00
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.00,11.24
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.00,9.47
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.00,21.00
43,0,3,"Kraeff, Mr. Theodor",male,MISSING,7.90
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.00,41.58
